key,value
tab9_lin31_col0,    
tab9_lin31_col1,We Crédito I FI MM IE Créd Priv 
tab9_lin31_col2,"7607015,79962"
tab9_lin31_col3,0
tab9_lin31_col4,"65079,4003900000"
tab9_lin31_col5,"7672095,20001"
tab9_lin31_col6,"8,0824877960"
tab9_lin31_col7,"67350,438"
tab9_lin31_col8,"7604744,76201"
tab9_lin31_col9,Data de encerramento do Fundo+5
tab9_lin32_col0,    
tab9_lin32_col1,We Crédito II FI MM IE Créd Priv 
tab9_lin32_col2,"1077975,9"
tab9_lin32_col3,0
tab9_lin32_col4,"8518,3200000000"
tab9_lin32_col5,"1086494,22"
tab9_lin32_col6,"1,1446125269"
tab9_lin32_col7,"3030,6285"
tab9_lin32_col8,"1083463,5915"
tab9_lin32_col9,Data de encerramento do Fundo+5
tab9_lin33_col0,    
tab9_lin33_col1,We Iliquidos II FI MM Créd Priv IE 
tab9_lin33_col2,"856700,719977"
tab9_lin33_col3,0
tab9_lin33_col4,"1918,0919910000"
tab9_lin33_col5,"858618,811968"
tab9_lin33_col6,"0,9045477002"
tab9_lin33_col7,"1000,711795"
tab9_lin33_col8,"857618,100173"
tab9_lin33_col9,Data de encerramento do Fundo+5
tab9_lin34_col0,    
tab9_lin34_col1,We Ilíquidos I FI MM Créd Priv IE 
tab9_lin34_col2,"1049287,34044"
tab9_lin34_col3,0
tab9_lin34_col4,"1994,4563200000"
tab9_lin34_col5,"1051281,79676"
tab9_lin34_col6,"1,1075165350"
tab9_lin34_col7,"1089,48401"
tab9_lin34_col8,"1050192,31275"
tab9_lin34_col9,Data de encerramento do Fundo+5
tab9_lin35_col0,    
tab9_lin35_col1,We Ilíquidos IIi FI MM Créd Priv IE 
tab9_lin35_col2,"853613,913992"
tab9_lin35_col3,0
tab9_lin35_col4,"4245,0099950000"
tab9_lin35_col5,"857858,923987"
tab9_lin35_col6,"0,9037471646"
tab9_lin35_col7,"1619,564098"
tab9_lin35_col8,"856239,359889"
tab9_lin35_col9,Data de encerramento do Fundo+5
tab9_lin36_col0,    
tab9_lin36_col1,We Rfw FI MM Créd Priv IE 
tab9_lin36_col2,"0,080500069"
tab9_lin36_col3,0
tab9_lin36_col4,"-0,0002089295"
tab9_lin36_col5,"0,0802911395"
tab9_lin36_col6,"0,0000000845"
tab9_lin36_col7,"0,0002097766125"
tab9_lin36_col8,"0,0800813628875"
tab9_lin36_col9,D+1
tab9_lin37_col0,    
tab9_lin37_col1,Genérico
tab9_lin37_col2,"5344258,28971"
tab9_lin37_col3,0
tab9_lin37_col4,"25761,28621"
tab9_lin37_col5,"5370019,57592"
tab9_lin37_col6,"5,6572704788"
tab9_lin37_col7,0
tab9_lin37_col8,"5370019,57592"
tab9_lin37_col9,
tab9_lin38_col0,    
tab9_lin38_col1,Absolute Hidra Cdi FI Em Cotas de Fundos Incentivados de Inv
tab9_lin38_col2,"2451345,85114"
tab9_lin38_col3,0
tab9_lin38_col4,"22264,2926500000"
tab9_lin38_col5,"2473610,14379"
tab9_lin38_col6,"2,6059274915"
tab9_lin38_col7,0
tab9_lin38_col8,"2473610,14379"
tab9_lin38_col9,D+31
tab9_lin39_col0,    
tab9_lin39_col1,Jgp Debêntures Incentivadas Juros Reais Conservador FI Em Co
tab9_lin39_col2,"1828417,43857"
tab9_lin39_col3,0
tab9_lin39_col4,"13261,8335600000"
tab9_lin39_col5,"1841679,27213"
tab9_lin39_col6,"1,9401936307"
